timepoint,x_left_voxel,y_left_voxel,z_left_voxel,x_right_voxel,y_right_voxel,z_right_voxel
0,10.815153664836844,48.91120315357051,14.87166610825464,10.851110404403943,50.37516233334515,32.54918644954259
1,10.897141090180957,48.978970635337916,14.834942880222718,10.909879446719094,50.4293234324372,32.59381004174093
2,10.881654582479342,48.95988459757801,14.832228926530817,10.878185844959622,50.356519299139165,32.63063740184193
3,10.895511327069604,48.95355908963394,14.81454439442195,10.905215747778179,50.35348867569674,32.5849012398132
4,10.962446114329808,48.97652491934831,14.863767660696116,10.9497214286199,50.39389970525497,32.56176978218726
5,10.857386415144099,48.91713693228175,14.843436575436167,10.854992581701369,50.359731679592585,32.62536742717875
6,10.914995927002153,48.96477160816545,14.834189473428248,10.916805583091183,50.3672907249971,32.60082165008077
7,10.89083648823302,49.01432327921174,14.825554479680507,10.908847274896713,50.39827210671424,32.62543465035578
8,10.914857917964948,48.96143438473712,14.807699263788002,10.927030646314208,50.37536701834074,32.59178286086555
9,10.902811937979386,48.956546226367045,14.8097166092975,10.90530373204476,50.384683174361406,32.5945278240294
10,10.871089820143489,48.945295771715266,14.84325145175547,10.886390905194984,50.43040269355427,32.583700656397276
11,10.911367132902292,48.999233275347166,14.829407535520719,10.909444385240826,50.44275794136538,32.56873453705491
12,10.92304230626022,48.99262781305485,14.80347266036674,10.914649851313598,50.41134436278328,32.579347303046774
13,10.833769714285136,48.92420781175861,14.862428712922373,10.843091935093472,50.43632921695467,32.61051396990076
14,10.871090667128385,48.91670559054231,14.843080576449177,10.866563559024728,50.42941614248285,32.60084269208096
15,10.905311779463638,49.000439208247165,14.821052342960202,10.89312890937309,50.44590427032874,32.589548158773454
16,10.899851454238586,48.97817259313261,14.81555111175116,10.907831070524374,50.40529524093585,32.624235843220134
17,10.909717459679326,49.012370130382,14.812942916489304,10.909155056006146,50.402439772657544,32.58225426721601
18,10.911955078197444,49.011488162361275,14.835502366853358,10.913749765263878,50.37263576936307,32.587518527643155
19,10.854204233555675,48.9331580322663,14.850263200938308,10.845710744080955,50.39211562415511,32.627493023637555
20,10.946579918189464,49.006060287483756,14.818672107959324,10.932858858371583,50.38795434314908,32.60494521902894
21,10.946002509323742,48.88071201669259,14.778481895715181,10.886143350415292,50.29462611659086,32.712773603149344
22,10.889179842894007,48.98097616265954,14.860982013326314,10.84544013475135,50.45695386637834,32.595280320462884
23,10.85642119671122,48.93139033283466,14.789384312088389,10.85956683229705,50.400235169856245,32.59853646153981
24,10.907883643816692,48.95732639339118,14.79800931377771,10.88725821364587,50.4092481190872,32.58589770785729
25,10.919887847591873,48.93813686493552,14.791634719822296,10.917431983911346,50.37685822301703,32.58183663573031
26,10.859700805269615,48.96015585734077,14.791532279503897,10.857111070034367,50.39020505085565,32.61762451130425
27,10.879349647057905,48.9146355725478,14.78384964657062,10.85490645947117,50.36247757590062,32.61120068216699
28,10.884223157414723,48.977848344861926,14.810781368600852,10.891793831132208,50.4279911473679,32.57393662381728
29,10.889604888909263,48.958547518770914,14.80497033128898,10.895575049052685,50.4132869003737,32.58237542258273
30,10.891356595982126,48.9683498759488,14.813650101456245,10.897838736070826,50.40213552990412,32.58417081536316
31,10.893025986813479,48.93004622029097,14.787487863140223,10.878809433547591,50.37985210010729,32.61098508967046
32,10.853522958488034,48.917063873607944,14.848656960036372,10.882316213448732,50.38461446770638,32.60742195925466
33,10.90021602700775,48.96286240158284,14.808526507281558,10.903428577243908,50.39175121924192,32.61516790089115
34,10.889639895462953,49.000674324345695,14.831805200301169,10.905859658004767,50.415568835487896,32.586504259664984
35,10.87449873946902,48.94208177568131,14.80329738897422,10.872937745015182,50.370391917594596,32.56168135236868
36,10.904587179759366,49.011845847396934,14.831287696736316,10.904626883905863,50.42905685314142,32.60905774164529
37,10.903039885418128,48.88396787672461,14.759218262384696,10.87168400423917,50.36904162793589,32.61046411803364
38,10.871784998093668,48.95462215353186,14.86354564463778,10.895098768975968,50.42119335997439,32.618366021246366
39,10.845022881121311,48.4754273585469,14.790873608268688,10.807672711942633,50.22478876166082,32.65121481608762
40,11.234159517950504,48.93436256083811,14.721140558095302,10.84573965869437,50.32695917617786,32.64327103067782
41,10.896577493438974,48.94758738001628,14.909742999685868,10.906883762614278,50.490735611771505,32.591658109708746
42,10.834895588928351,48.877845031855465,14.82373039056474,10.845449829441204,50.28576215668542,32.66597843095638
43,10.872615282878957,48.968354913776516,14.873780269097315,10.901999989719918,50.4269237600652,32.6547052215386
44,10.87147626958698,48.90676248098192,14.842870841235362,10.914080032267776,50.36934444389236,32.659504818245324
45,10.86781363167173,48.962345810684575,14.846285113237663,10.905916703656235,50.41425780385274,32.66701442536375
46,10.922115690822203,48.867313680246326,14.852809858537594,10.92170288862456,50.3422544426373,32.630237792211844
47,10.922551385167507,48.84005443725633,14.878921037178127,10.935886110798634,50.307068045778294,32.67845661067726
48,10.873210940389571,48.97507971144507,14.840898862439245,10.896684249397088,50.41112262291869,32.687166823592825
49,10.887546478955297,48.908107569003135,14.861197830134508,10.902624612197787,50.32822583894447,32.67637327607252
50,10.889075148903087,48.95323412676593,14.85674224860038,10.878269762461226,50.41515370914642,32.718336236858896
51,10.907352887453435,48.90762734329555,14.883433545622898,10.869018431849115,50.409601622007315,32.669850674984886
52,10.921539930191834,49.00558791441187,14.821273702560292,10.905862109955423,50.45426210995542,32.69852956909361
53,10.831155853288427,48.989406204292024,14.851641197175821,10.862879422092194,50.43183580981343,32.69630790984686
54,10.87338581271258,48.99127605533487,14.832918187695535,10.880962766352365,50.41308688005791,32.69996322574059
55,10.883175849915931,49.019014283267516,14.849762508412919,10.891416063623494,50.4276296528469,32.70684065079294
56,10.862295652812287,48.9212740322015,14.80388374364395,10.903874268793214,50.37281525157004,32.654418946945874
57,10.876068744175408,48.96696133322627,14.826421687069466,10.885399229176382,50.42929094642091,32.68035804037375
58,10.830566634310886,48.88812223572848,14.781816215874608,10.852463184887046,50.346871155610444,32.69069097390307
59,10.898786915926877,48.925280778378216,14.891599236199294,10.881491798276704,50.43003562839273,32.62193762304905
60,10.918587033419094,48.93718180618493,14.857890214389826,10.886032546232007,50.395086893856494,32.672671587470916
61,10.848252615779428,48.89231543012839,14.854918298971114,10.897398361351456,50.39335797722218,32.67974810358782
62,10.878510820722685,48.92812166592114,14.83107797146016,10.898229432119573,50.37834164023561,32.672739026663855
63,10.85376556790161,48.95416540018902,14.84806079874587,10.873820085820446,50.42739880309833,32.691943427274246
64,10.90689107134788,48.9934265475357,14.82292929445073,10.925907198261283,50.429405698508006,32.66179094381886
65,10.858347408048658,48.91268121455854,14.828485394312402,10.875769763887737,50.387028042033435,32.66501794832305
66,10.866921651114147,48.914515831130856,14.837986276030119,10.864194091925116,50.45575253938982,32.6218611504624
67,10.85118910693949,48.890005958261995,14.85398958435466,10.903133626734167,50.38494659693252,32.630367280221314
68,10.94138187027543,48.92747697738603,14.950922545874784,10.908630903207023,50.2602375894674,32.571787851862055
69,10.873378733491036,48.92233950056588,14.836224759924807,10.763235916984328,50.34975840399692,32.60056185116995
70,10.837719518161439,48.83594414411345,14.8885087490842,10.878545345615217,50.39530472552984,32.652673107166926
71,10.900521007515016,48.95550614593249,14.806693714071747,10.928990630116788,50.39995256478764,32.653252598220895
72,10.854120206501381,48.832438355131586,14.852818660518714,10.894791673889378,50.38021682001928,32.624716002986155
73,10.895435799810748,48.96371998241601,14.899938437409192,10.894875313076035,50.44877219560416,32.65100579855802
74,10.899590182900305,48.94681243353807,14.826553790381938,10.935560805426578,50.40483019420456,32.65253856918801
75,10.893003730887148,48.94645663516031,14.82586585431448,10.901351122166318,50.42008271452625,32.65342314211003
76,10.893847793272238,48.955573896200974,14.8441728481733,10.903253749426758,50.41722330108081,32.65249933475629
77,10.875668612980032,48.98843129118627,14.851691909461849,10.9005236750874,50.44097234333912,32.67277339631537
78,10.928312614757314,48.926859001978286,14.845887064055193,10.950416225302813,50.33034702712661,32.621523396122136
79,11.033668986640974,48.789858680490646,14.932283652809135,11.040490352865378,50.24246637596788,32.55874972675081
80,10.704978456480449,49.26911698762184,14.899857778908796,10.576997160968112,50.64805604631827,32.61999134311416
81,10.894304051752796,49.05618092676172,14.894218905188536,10.728106187427164,50.409803956309254,32.63301462397573
82,10.866407323020987,49.06376610219715,14.90700117725731,10.741058170065616,50.376509430676805,32.667676617162535
83,10.90988797163299,48.94478296634827,14.900664563663701,10.92474413847695,50.44465907313098,32.63177306256261
84,10.867146846792151,48.88179069225451,14.875640659058728,10.898659197623628,50.3722928129952,32.6343281662057
85,10.891449063681394,48.948441224954514,14.835038855693973,10.896536321419932,50.39894673487812,32.669389814306705
86,10.867549198403713,48.9184538290375,14.824340845964645,10.89378074508877,50.40912984321348,32.64444841909777
87,10.916621891173303,48.94255180600338,14.896644445582107,10.938378909233263,50.421892271991325,32.6220581396796
88,10.874035339438135,48.92518007935935,14.902397934547228,10.85243484785056,50.34968871768205,32.61203754285646
89,10.820871061768898,48.91638846172103,14.89876011018294,10.870999166088605,50.414799548235386,32.6776137362486
90,10.886409135676905,48.92013462664972,14.819400339983293,10.90241404692185,50.3779537398418,32.67523812300696
91,10.866507757484051,48.83339771981545,14.859371393938908,10.891535072144478,50.38778713453683,32.69494831638729
92,10.892809315777948,48.92387738275806,14.841648325143982,10.909446710435086,50.39136115640436,32.66059850046143
93,10.907929329326738,49.00406988815,14.868023040323443,10.893177377742992,50.43513928747427,32.67261269095864
94,10.889959747571321,48.94712468471836,14.836701905901414,10.893695591796225,50.399472586516914,32.69130038014943
95,10.858312839334278,48.932795296010916,14.853651646060912,10.869782724285175,50.4269159778227,32.68568688030394
96,10.88565264449303,48.93162654998461,14.847902454109184,10.927225990559839,50.3588894845356,32.663486998556884
97,10.984330566035753,48.89183458212727,14.918077862918285,10.986158719815888,50.332219029695125,32.62459347268772
98,10.850078126993662,48.90960186641069,14.829281231658314,10.869770738407,50.4219809946269,32.67940322850063
99,10.84615879247495,48.92351680056307,14.83746703267398,10.86344715854663,50.410551721393794,32.68274876636068
100,10.848525370410925,48.94047841317483,14.84871207709674,10.85959354867911,50.41851450641964,32.69270469667024
101,10.882848990816726,48.91514660527709,14.805828983781133,10.87784004628169,50.39698638263894,32.674200611781664
102,10.844951694175528,48.88469240993493,14.85486033962863,10.871247235746951,50.4155820377823,32.695139566450614
103,10.872078342624341,48.92604374146152,14.85367310479328,10.887634027260583,50.39979253112033,32.695202799352174
104,10.870461021697947,48.97354468137606,14.884015274527597,10.886440984525246,50.42332569330989,32.69047230763301
105,10.88920026594953,48.94432674082822,14.827922219686219,10.881390900128618,50.40878138359972,32.68294855822848
106,10.901876715326248,48.960627835163834,14.815978671816202,10.888504982188188,50.375072496936006,32.71660458379381
107,10.875857241231264,48.95571818880848,14.814776402137545,10.85748527706708,50.41438187887135,32.682338652872815
108,10.84558440413696,48.88537471597587,14.847201872600486,10.870293647053828,50.39610534752452,32.70140427587289
109,10.888850371597913,48.98502616827171,14.834157365735603,10.885777059077945,50.40931594173381,32.693036161487406
110,10.895909586363343,48.956892234860675,14.835887726044147,10.884812687061235,50.397207772594555,32.70546577294236
111,10.88535286205588,48.97556807006181,14.826922656642699,10.879209692743455,50.405535145464235,32.6694141561066
112,10.878968685737327,48.943861050380725,14.8463240358085,10.891617683536518,50.376674696170404,32.67640468462047
113,10.876183649638733,48.91073409407647,14.861417428659635,10.909608715281744,50.372311903512255,32.664255025304776
114,10.837600859196431,48.94112902216336,14.803195449663656,10.858314673822877,50.41318877208109,32.69179716213974
115,10.893507755197337,48.92164816987631,14.799587161136756,10.902401075870463,50.34206741859803,32.70438716612186
116,10.841656298480487,48.847385601584286,14.85631259745805,10.879706029772022,50.354216477675884,32.71468846239159
117,10.93960878466335,48.97302389995775,14.918111629987441,10.90462600400712,50.37777330430724,32.739326912913405
118,10.914548410392193,48.99078449754471,14.852491494119747,10.902501488693193,50.373364252966496,32.68786642427998
119,10.884223750232298,48.97046199591154,14.858654772966611,10.881895510473301,50.404939032992964,32.685339641859386
120,10.844706140933207,49.013702267699195,14.877157466927832,10.859992763846485,50.432900534606084,32.69609036264171
121,10.885375285956275,48.94975393468814,14.816369185221438,10.874885115335308,50.42652184379955,32.68025893076324
122,10.869999088180764,48.94955384586725,14.825836643171797,10.869551038535477,50.40800077197678,32.67516403053261
123,10.86937648703227,48.98292312119769,14.833425421271677,10.877302828929427,50.41381080188882,32.689397040460435
124,10.882020757095058,48.985758523879326,14.853648800155394,10.904976106688977,50.43377794735886,32.65068301081003
125,10.88744635952089,49.00342424706844,14.83917434924078,10.902591943700543,50.428957156352766,32.675339645991386
126,10.899802880753581,49.0112265012168,14.853594029694214,10.884208267158861,50.41463593309582,32.66598331687914
127,10.884498659359439,48.96774202897291,14.851392493475517,10.882890940531805,50.40428295702798,32.67666891239443
